time,dipole
1.189999999999985825e+01,4.488834692260218473e-01
1.192499999999985683e+01,4.581558501334272449e-01
1.194999999999985540e+01,4.674836264712473044e-01
1.197499999999985398e+01,4.768703086240546063e-01
1.199999999999985256e+01,4.863213752809906198e-01
1.202499999999985114e+01,4.958425941286102590e-01
1.204999999999984972e+01,5.054384238540603480e-01
1.207499999999984830e+01,5.151113120344470442e-01
1.209999999999984688e+01,5.248619976439672374e-01
1.212499999999984546e+01,5.346902306519534243e-01
1.214999999999984404e+01,5.445954576068171571e-01
1.217499999999984261e+01,5.545773713784112324e-01
1.219999999999984119e+01,5.646370578708307386e-01
1.222499999999983977e+01,5.747765238329737292e-01
1.224999999999983835e+01,5.849979035242384162e-01
1.227499999999983693e+01,5.953025526009320112e-01
1.229999999999983551e+01,6.056923755785807995e-01
1.232499999999983409e+01,6.161703006280692119e-01
1.234999999999983267e+01,6.267402777652476553e-01
1.237499999999983125e+01,6.374073325145683810e-01
1.239999999999982983e+01,6.481764146641788571e-01
1.242499999999982840e+01,6.590509986137824683e-01
1.244999999999982698e+01,6.700327387420450531e-01
1.247499999999982556e+01,6.811209924165919638e-01
1.249999999999982414e+01,6.923135463499962006e-01
1.252499999999982272e+01,7.036077243600364906e-01
1.254999999999982130e+01,7.150000889889716049e-01
1.257499999999981988e+01,7.264861485935310004e-01
1.259999999999981846e+01,7.380602200519732481e-01
1.262499999999981704e+01,7.497166970720691159e-01
1.264999999999981561e+01,7.614510843142691110e-01
1.267499999999981419e+01,7.732603951289385158e-01
1.269999999999981277e+01,7.851423354462870874e-01
1.272499999999981135e+01,7.970950919275501256e-01
1.274999999999980993e+01,8.091184455374709206e-01
1.277499999999980851e+01,8.212144210320825310e-01
1.279999999999980709e+01,8.333874261113780602e-01
1.282499999999980567e+01,8.456425607558480939e-01
1.284999999999980425e+01,8.579839262899259245e-01
1.287499999999980282e+01,8.704135070724604573e-01
1.289999999999980140e+01,8.829317881308077487e-01
1.292499999999979998e+01,8.955377209351211842e-01
1.294999999999979856e+01,9.082289852633219640e-01
1.297499999999979714e+01,9.210029857817005894e-01
1.299999999999979572e+01,9.338572398958051579e-01
1.302499999999979430e+01,9.467893962019167109e-01
1.304999999999979288e+01,9.597969568561361964e-01
1.307499999999979146e+01,9.728779801994432708e-01
1.309999999999979003e+01,9.860325674432872667e-01
1.312499999999978861e+01,9.992637437110436505e-01
1.314999999999978719e+01,1.012576985388761175e+00
1.317499999999978577e+01,1.025978997332230858e+00
1.319999999999978435e+01,1.039475207257289480e+00
1.322499999999978293e+01,1.053068659355160364e+00
1.324999999999978151e+01,1.066760334975249469e+00
1.327499999999978009e+01,1.080549877394513691e+00
1.329999999999977867e+01,1.094436446867752544e+00
1.332499999999977724e+01,1.108418932526813894e+00
1.334999999999977582e+01,1.122496948989129217e+00
1.337499999999977440e+01,1.136671077900256011e+00
1.339999999999977298e+01,1.150943678103287349e+00
1.342499999999977156e+01,1.165319063536513822e+00
1.344999999999977014e+01,1.179803744180208502e+00
1.347499999999976872e+01,1.194405045971393298e+00
1.349999999999976730e+01,1.209129287581303558e+00
1.352499999999976588e+01,1.223981733146129569e+00
1.354999999999976446e+01,1.238964999112800225e+00
1.357499999999976303e+01,1.254077526756203431e+00
1.359999999999976161e+01,1.269313753274339041e+00
1.362499999999976019e+01,1.284664981074942425e+00
1.364999999999975877e+01,1.300121379317317638e+00
1.367499999999975735e+01,1.315674187817323260e+00
1.369999999999975593e+01,1.331316961556165746e+00
1.372499999999975451e+01,1.347046219449768545e+00
1.374999999999975309e+01,1.362859873472095362e+00
1.377499999999975167e+01,1.378756788004687817e+00
1.379999999999975024e+01,1.394736430661034587e+00
1.382499999999974882e+01,1.410798946079508287e+00
1.384999999999974740e+01,1.426945337892806309e+00
1.387499999999974598e+01,1.443176868508132760e+00
1.389999999999974456e+01,1.459494090356917795e+00
1.392499999999974314e+01,1.475898025664964308e+00
1.394999999999974172e+01,1.492391009726314000e+00
1.397499999999974030e+01,1.508976665075462353e+00
1.399999999999973888e+01,1.525658476149712062e+00
1.402499999999973745e+01,1.542438883342798661e+00
1.404999999999973603e+01,1.559317348886912757e+00
1.407499999999973461e+01,1.576291095129399578e+00
1.409999999999973319e+01,1.593354978025674829e+00
1.412499999999973177e+01,1.610502955125090674e+00
1.414999999999973035e+01,1.627730064057581583e+00
1.417499999999972893e+01,1.645033780119368405e+00
